"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/02/2021","AirNow","060010009","1","0.016","ppm","15","Oakland","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/03/2021","AirNow","060010009","1","0.016","ppm","15","Oakland","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/04/2021","AirNow","060010009","1","0.03","ppm","28","Oakland","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/05/2021","AirNow","060010009","1","0.024","ppm","22","Oakland","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/06/2021","AirNow","060010009","1","0.014","ppm","13","Oakland","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/07/2021","AirNow","060010009","1","0.02","ppm","19","Oakland","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/08/2021","AirNow","060010009","1","0.013","ppm","12","Oakland","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/09/2021","AirNow","060010009","1","0.016","ppm","15","Oakland","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/10/2021","AirNow","060010009","1","0.019","ppm","18","Oakland","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/11/2021","AirNow","060010009","1","0.012","ppm","11","Oakland","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/12/2021","AirNow","060010009","1","0.008","ppm","7","Oakland","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/13/2021","AirNow","060010009","1","0.017","ppm","16","Oakland","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/14/2021","AirNow","060010009","1","0.015","ppm","14","Oakland","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/15/2021","AirNow","060010009","1","0.016","ppm","15","Oakland","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/16/2021","AirNow","060010009","1","0.014","ppm","13","Oakland","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
